epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,1.4361808786392212,0.4336,1.5575611673552414,0.5474137931034483,0.0003,56.79194521903992
2,0.9803793145179749,0.664,1.4305719013871818,0.5517241379310345,0.00029711779206048454,28.136625289916992
3,0.8050745410919189,0.7584,1.1093073425621822,0.6508620689655172,0.000288581929876693,30.623936414718628
4,0.6433543720245362,0.8432,1.1111249142679676,0.6594827586206896,0.0002747204418453818,37.26657676696777
5,0.5739407901287079,0.8816,1.1140690939179783,0.6767241379310345,0.0002560660171779821,26.585022926330566
6,0.5494688864707947,0.8832,0.9954610518340407,0.7068965517241379,0.00023333553495294033,25.710354566574097
7,0.48855697002410886,0.9152,1.0341756364394878,0.7025862068965517,0.00020740251485476348,26.180767059326172
8,0.44017148532867434,0.9408,0.9761774190540972,0.7241379310344828,0.00017926354830241926,26.514099597930908
9,0.4174074662685394,0.944,0.9757186379925958,0.7241379310344828,0.00015,26.01572895050049
10,0.3945559833526611,0.968,0.9315414665074184,0.728448275862069,0.00012073645169758076,25.883864641189575
11,0.354475364112854,0.9696,0.9937103770930191,0.6939655172413793,9.259748514523655e-05,26.131194591522217
12,0.3341970381736755,0.9744,0.9956559764927831,0.6982758620689655,6.666446504705971e-05,26.180779457092285
13,0.3453381437301636,0.9728,0.9865647091947752,0.7112068965517241,4.393398282201788e-05,29.55661392211914
14,0.35311491026878356,0.968,0.9964259626536534,0.7112068965517241,2.52795581546182e-05,27.211608409881592
15,0.3346450368881226,0.9776,0.9858241893094162,0.7155172413793104,1.141807012330699e-05,27.227714776992798
